#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
1,#9,Magic Hat Brewing Company,"South Burlington, VT",Fruit / Vegetable Beer,12 oz.,5.10%,20,Other
2,113 IPA,Sly Fox Brewing Company,"Phoenixville, PA",American IPA,12 oz.,7%,113,IPA
3,11th Hour IPA,Crow Peak Brewing Company,"Spearfish, SD",American IPA,12 oz.,6%,N/A,IPA
4,1327 Pod's ESB,Blue Blood Brewing Company,"Lincoln, NE",Extra Special / Strong Bitter (ESB),12 oz.,5.60%,37,Other
5,1327 Pod's ESB,Blue Blood Brewing Company,"Lincoln, NE",Extra Special / Strong Bitter (ESB),12 oz.,5.60%,37,Other
6,1327 Pod's ESB,Blue Blood Brewing Company,"Lincoln, NE",Extra Special / Strong Bitter (ESB),12 oz.,5.60%,37,Other
7,1335 Wicked Snout,Blue Blood Brewing Company,"Lincoln, NE",Saison / Farmhouse Ale,12 oz.,6.40%,N/A,Ale
8,15th Anniversary Abbey Ale (2012),Oskar Blues Brewery,"Longmont, CO",Belgian Dark Ale,16 oz.,9%,N/A,Ale
9,1811 Lager,Fort George Brewery,"Astoria, OR",American Amber / Red Lager,16 oz.,5.10%,N/A,Lager
10,1881 California Red Ale,Ruhstaller Beer Company,"Sacramento, CA",American Amber / Red Ale,16 oz.,5.60%,35,Ale
11,2012 Black Ale,Stevens Point Brewery,"Stevens Point, WI",American Brown Ale,12 oz.,5.40%,32,Ale
12,21st Amendment IPA (2006),21st Amendment Brewery,"San Francisco, CA",American IPA,12 oz.,7%,70,IPA
13,21st Amendment Watermelon Wheat Beer (2006),21st Amendment Brewery,"San Francisco, CA",Fruit / Vegetable Beer,12 oz.,4.90%,17,Other
14,3 Gear Robust Porter,Tin Man Brewing Company,"Evansville, IN",American Porter,16 oz.,5.20%,50,Other
15,3 Picket Porter,Crooked Fence Brewing Company,"Garden City, ID",American Porter,12 oz.,5.50%,N/A,Other
16,312 Urban Wheat Ale,Goose Island Brewing Company,"Chicago, IL",American Pale Wheat Ale,12 oz.,4.20%,20,Ale
17,33 Select Brown Ale,Okoboji Brewing Company,"Spirit Lake, IA",American Brown Ale,16 oz.,6.50%,26,Ale
18,3Beans,Sixpoint Craft Ales,"Brooklyn, NY",Baltic Porter,12 oz.,10%,85,Other
19,40th Annual Bix Street Fest Copper Ale (Current),Great River Brewery,"Davenport, IA",American Amber / Red Ale,16 oz.,4.80%,25,Ale
20,413 Farmhouse Ale,Big Elm Brewing,"Sheffield, MA",Saison / Farmhouse Ale,12 oz.,6%,N/A,Ale
21,467 Ethan's Stout,Blue Blood Brewing Company,"Lincoln, NE",American Stout,12 oz.,5%,N/A,Stout
22,483 Pale Ale (2010),Great River Brewery,"Davenport, IA",American Pale Ale (APA),16 oz.,5.30%,48,Ale
23,483 Pale Ale,Great River Brewery,"Davenport, IA",American Pale Ale (APA),16 oz.,5.30%,48,Ale
24,543 Skull Creek Fresh Hopped Pale Ale,Blue Blood Brewing Company,"Lincoln, NE",American Pale Ale (APA),12 oz.,4.50%,N/A,Ale
25,5:00 O'Clock Afternoon Ale,Renegade Brewing Company,"Denver, CO",American Blonde Ale,16 oz.,5%,25,Ale
26,668 Neighbor of the Beast (16 oz.) (2010),New England Brewing Company,"Woodbridge, CT",Belgian Pale Ale,16 oz.,9%,N/A,Ale
27,668 Neighbor of the Beast12 oz.,New England Brewing Company,"Woodbridge, CT",Belgian Pale Ale,12 oz.,9%,N/A,Ale
28,8-Bit Pale Ale,Tallgrass Brewing Company,"Manhattan, KS",American Pale Ale (APA),16 oz.,5.20%,N/A,Ale
29,834 Happy As Ale,Blue Blood Brewing Company,"Lincoln, NE",American Pale Ale (APA),12 oz.,4.60%,35,Ale
30,A Little Crazy,Revolution Brewing Company,"Chicago, IL",Belgian Pale Ale,12 oz.,6.80%,N/A,Ale
31,Aaah Bock Lager,Great River Brewery,"Davenport, IA",Vienna Lager,16 oz.,6%,N/A,Lager
32,AARGHtoberfest!,Heavy Seas Beer,"Halethorpe, MD",Märzen / Oktoberfest,12 oz.,6%,30,Other
33,Abita Amber,Abita Brewing Company,"Abita Springs, LA",American Amber / Red Lager,12 oz.,4.50%,17,Lager
34,Abominable Ale,Fremont Brewing Company,"Seattle, WA",English Strong Ale,12 oz.,8%,N/A,Ale
35,Abominable Winter Ale,Hopworks Urban Brewery,"Portland, OR",American Strong Ale,16 oz.,7.30%,70,Ale
36,Abrasive Ale,Surly Brewing Company,"Brooklyn Center, MN",American Double / Imperial IPA,16 oz.,9.70%,120,IPA
37,Ace IPA,Wingman Brewers,"Tacoma, WA",American IPA,16 oz.,7.40%,83,IPA
38,Akari Shogun American Wheat Ale,Half Acre Beer Company,"Chicago, IL",American Pale Wheat Ale,16 oz.,5.50%,N/A,Ale
39,Alloy,Tin Man Brewing Company,"Evansville, IN",American IPA,16 oz.,5.80%,36,IPA
40,Aloha B’ak’tun,Maui Brewing Company,"Lahaina, HI",Belgian Strong Dark Ale,12 oz.,???,N/A,Ale
41,Alphadelic IPA,Hop Valley Brewing Company,"Springfield, OR",American IPA,12 oz.,6.50%,90,IPA
42,Alteration,Hops & Grain Brewery,"Austin, TX",Altbier,12 oz.,5.10%,40,Other
43,Amber Road,Baxter Brewing Company,"Lewiston, ME",American Amber / Red Ale,12 oz.,5.50%,35,Ale
44,Ambitious Lager,Wildwood Brewing Company,"Stevensville, MT",Munich Helles Lager,16 oz.,5%,N/A,Lager
45,American Idiot Ale (2012),SanTan Brewing Company,"Chandler, AZ",American Pale Ale (APA),12 oz.,5.50%,45,Ale
46,American Special Bitter,Uncommon Brewers,"Santa Cruz, CA",American Strong Ale,8 oz.,14.50%,N/A,Ale
47,Annie's Amber Ale,High Noon Saloon And Brewery,"Leavenworth, KS",American Amber / Red Ale,12 oz.,5.50%,N/A,Ale
48,Anti-Hero IPA,Revolution Brewing Company,"Chicago, IL",American IPA,12 oz.,6.50%,70,IPA
49,Apollo,Sixpoint Craft Ales,"Brooklyn, NY",American Pale Wheat Ale,16 oz.,5.20%,11,Ale
50,Apricot Blonde,Dry Dock Brewing Company,"Aurora, CO",Fruit / Vegetable Beer,12 oz.,5.10%,17,Other
51,Archer's Ale (2004),Sherwood Forest Brewers,"Marlborough, MA",English Pale Ale,12 oz.,5%,N/A,Ale
52,Arizona Pilsner,Lumberyard Brewing Company,"Flagstaff, AZ",American Pilsner,12 oz.,5%,20,Pilsner
53,Ashland Amber Ale,Caldera Brewing Company,"Ashland, OR",American Amber / Red Ale,12 oz.,5.40%,24,Ale
54,Ashland Amber Ale (2009),Caldera Brewing Company,"Ashland, OR",American Amber / Red Ale,12 oz.,5.40%,24,Ale
55,Atlantic Amber Ale (2007),New England Brewing Company,"Woodbridge, CT",American Amber / Red Ale,12 oz.,5%,N/A,Ale
56,Atlantic Amber Ale (2004),New England Brewing Company,"Woodbridge, CT",American Amber / Red Ale,12 oz.,5%,N/A,Ale
57,Atom Smasher,Two Brothers Brewing Company,"Warrenville, IL",Märzen / Oktoberfest,12 oz.,7.70%,23,Other
58,Atwater's Lager,Atwater Brewery,"Detroit, MI",Munich Helles Lager,12 oz.,5%,12,Lager
59,Aurora Lager,Great Crescent Brewery,"Aurora, IN",Dortmunder / Export Lager,16 oz.,5.70%,27,Lager
60,Autumnal Molé Stout,Ska Brewing Company,"Durango, CO",American Stout,12 oz.,???,N/A,Stout
61,Autumnation,Sixpoint Craft Ales,"Brooklyn, NY",Pumpkin Ale,16 oz.,6%,48,Ale
62,Avalanche Ale,Breckenridge Brewery,"Denver, CO",American Amber / Red Ale,12 oz.,5.40%,19,Ale
63,Avery India Pale Ale,Avery Brewing Company,"Boulder, CO",American IPA,12 oz.,6.30%,69,IPA
64,Avery Joe’s Premium American Pilsner,Avery Brewing Company,"Boulder, CO",German Pilsener,12 oz.,4.70%,42,Other
65,Awry Rye Pale Ale,Bonfire Brewing Company,"Eagle, CO",American Pale Ale (APA),12 oz.,5.80%,N/A,Ale
66,AXL Pale Ale,MillKing It Productions,"Royal Oak, MI",American Pale Ale (APA),16 oz.,???,N/A,Ale
67,B3K Black Lager,Wynkoop Brewing Company,"Denver, CO",Schwarzbier,12 oz.,5.50%,N/A,Other
68,Babbling Blonde,Rivertowne Brewing Company,"Export, PA",American Blonde Ale,12 oz.,5.30%,N/A,Ale
69,Back Country Scottish Ale,Lewis and Clark Brewing Company,"Helena, MT",Scottish Ale,12 oz.,5.70%,N/A,Ale
70,Back East Ale,Back East Brewing Company,"Bloomfield, CT",American Amber / Red Ale,12 oz.,5%,N/A,Ale
71,Back in Black,21st Amendment Brewery,"San Francisco, CA",American Black Ale,12 oz.,6.80%,65,Ale
72,Back in the Saddle Rye Pale Ale,Half Moon Bay Brewing Company,"Half Moon Bay, CA",American Pale Ale (APA),12 oz.,3.70%,N/A,Ale
73,Backyahd,Foolproof Brewing Company,"Pawtucket, RI",American IPA,12 oz.,6%,N/A,IPA
74,Bacon Brown Ale,Uncommon Brewers,"Santa Cruz, CA",American Brown Ale,16 oz.,6.80%,N/A,Ale
75,Ballz Deep Double IPA,7 Seas Brewing Company,"Gig Harbor, WA",American Double / Imperial IPA,16 oz.,8.40%,82,IPA
76,Balt Altbier,Union Craft Brewing,"Baltimore, MD",Altbier,12 oz.,6%,N/A,Other
77,Baltic Porter,Uncommon Brewers,"Santa Cruz, CA",Baltic Porter,16 oz.,7.80%,N/A,Other
78,Bark Bite IPA,Big Wood Brewery,"Vadnais Heights, MN",American IPA,16 oz.,7.40%,N/A,IPA
79,Barn Burner Saison,Karbach Brewing Company,"Houston, TX",Saison / Farmhouse Ale,12 oz.,6.60%,20,Ale
80,Barney Flats Oatmeal Stout,Anderson Valley Brewing Company,"Boonville, CA",Oatmeal Stout,12 oz.,5.70%,13,Stout
81,Barstool,Foolproof Brewing Company,"Pawtucket, RI",American Blonde Ale,12 oz.,4.50%,N/A,Ale
82,Beanblossom Blueberry Hard Cider,Beanblossom Hard Ciders (Oliver ...,"Bloomington, IN",Other,250 ml,8%,N/A,Other
83,Beanblossom Hard Cider,Beanblossom Hard Ciders (Oliver ...,"Bloomington, IN",Cider,250 ml,8%,N/A,Other
84,Beanblossom Raspberry Hard Cider,Beanblossom Hard Ciders (Oliver ...,"Bloomington, IN",Cider,250 ml,8%,N/A,Other
85,Beanblossom Strawberry Hard Cider,Beanblossom Hard Ciders (Oliver ...,"Bloomington, IN",Cider,250 ml,8%,N/A,Other
86,Bear Ass Brown,Silverton Brewery,"Silverton, CO",American Brown Ale,12 oz.,4.20%,N/A,Ale
87,Becky's Black Cat Porter,Seven Brides Brewery,"Silverton, OR",American Porter,16 oz.,7%,55,Other
88,Belgorado,Wynkoop Brewing Company,"Denver, CO",Belgian IPA,12 oz.,6.70%,45,IPA
89,Beltian White,Harvest Moon Brewing Company,"Belt, MT",Witbier,12 oz.,4.80%,N/A,Other
90,Bender,Surly Brewing Company,"Brooklyn Center, MN",American Brown Ale,16 oz.,5.10%,45,Ale
91,Bengali Tiger,Sixpoint Craft Ales,"Brooklyn, NY",American IPA,16 oz.,6.40%,62,IPA
92,Big Al Irish Red,Big Al Brewing,"Seattle, WA",Irish Red Ale,16 oz.,6%,26,Ale
93,Big Al Smoked Porter,Big Al Brewing,"Seattle, WA",Smoked Beer,16 oz.,5.80%,44,Other
94,Big Bend Hefeweizen,Big Bend Brewing Company,"Alpine, TX",Hefeweizen,12 oz.,5.60%,N/A,Other
95,Big Cock IPA,Great River Brewery,"Davenport, IA",American IPA,16 oz.,7%,70,IPA
96,Big E Scotch Ale,Ellersick Brewing Company (Big E...,"Lynnwood, WA",Scotch Ale / Wee Heavy,16 oz.,7.20%,N/A,Ale
97,Big Elm IPA,Big Elm Brewing,"Sheffield, MA",American IPA,12 oz.,7%,N/A,IPA
98,Big Hoppa India Pale Ale,Big Al Brewing,"Seattle, WA",American IPA,16 oz.,6%,68,IPA
99,Big Island Shandy,Tonka Beer Company,"Minnetonka, MN",Fruit / Vegetable Beer,16 oz.,5%,N/A,Other
100,Big Red Coq,Brewery Vivant,"Grand Rapids, MI",American Amber / Red Ale,16 oz.,6%,N/A,Ale
101,Big Red Coq (2012),Brewery Vivant,"Grand Rapids, MI",American Amber / Red Ale,16 oz.,6.20%,N/A,Ale
102,Big River Pilsner,Big River Brewing Company,"Chattanooga, TN",Czech Pilsener,12 oz.,5%,32,Other
103,Big Sky IPA,Big Sky Brewing Company,"Missoula, MT",American IPA,12 oz.,6.20%,65,IPA
104,Big Swell IPA,Maui Brewing Company,"Lahaina, HI",American IPA,12 oz.,6.20%,65,IPA
105,Bikini Blonde Lager,Maui Brewing Company,"Lahaina, HI",Munich Helles Lager,12 oz.,4.50%,18,Lager
106,Bitter American (2011),21st Amendment Brewery,"San Francisco, CA",American Pale Ale (APA),12 oz.,4.40%,42,Ale
107,Bitter American,21st Amendment Brewery,"San Francisco, CA",American Pale Ale (APA),12 oz.,4.40%,42,Ale
108,Bitter Bitch Imperial IPA,Astoria Brewing Company,"Astoria, OR",American Double / Imperial IPA,12 oz.,8.20%,100,IPA
109,Bitter Brewer,Surly Brewing Company,"Brooklyn Center, MN",English Bitter,16 oz.,4%,37,Other
110,Black Adder IBA (Current),Buckbean Brewing Company,"Reno, NV",American Black Ale,16 oz.,7.30%,85,Ale
111,Black Bear Dark Lager,Morgan Street Brewery,"Saint Louis, MO",Schwarzbier,12 oz.,4.60%,24,Other
112,Black IPA,Santa Fe Brewing Company,"Santa Fe, NM",American Black Ale,12 oz.,7.10%,95,Ale
113,Black Iron India Pale Ale,Grand Canyon Brewing Company,"Williams, AZ",American IPA,12 oz.,???,N/A,IPA
114,Black Noddy Lager (Current),Buckbean Brewing Company,"Reno, NV",Schwarzbier,16 oz.,5.20%,40,Other
115,Black Star Double Hopped Golden Lager (12 oz.),Great Northern Brewing Company,"Whitefish, MT",American Pale Lager,12 oz.,4.50%,15,Lager
116,Black Star Double Hopped Golden Lager (24 oz.),Great Northern Brewing Company,"Whitefish, MT",American Pale Lager,24 oz.,4.50%,15,Lager
117,Black Thunder,Austin Beerworks,"Austin, TX",Schwarzbier,12 oz.,5.20%,N/A,Other
118,Black Walnut Wheat,Piney River Brewing Company,"Bucryus, MO",American Dark Wheat Ale,16 oz.,4.50%,18,Ale
119,Blackbeary Wheat,Long Trail Brewing Company,"Bridgewater Corners, VT",Fruit / Vegetable Beer,12 oz.,4%,8,Other
120,Blacktop Blonde,TailGate Beer,"San Diego, CA",American Blonde Ale,12 oz.,5%,19,Ale
121,Blacktop Blonde,TailGate Beer,"San Diego, CA",American Blonde Ale,24 oz.,5%,19,Ale
122,Blue Point Summer Ale,Blue Point Brewing Company,"Patchogue, NY",American Blonde Ale,12 oz.,4.40%,16,Ale
123,Blue Point White IPA,Blue Point Brewing Company,"Patchogue, NY",American IPA,12 oz.,6%,40,IPA
124,Blueberry Blonde Ale,Matt Brewing Company,"Utica, NY",American Blonde Ale,12 oz.,5%,12,Ale
125,Boater Beer,Eddyline Brewery & Restaurant,"Buena Vista, CO",German Pilsener,16 oz.,4.50%,N/A,Other
126,Bodacious Bock,Wildwood Brewing Company,"Stevensville, MT",Bock,16 oz.,7.50%,N/A,Other
127,Boji Beach Golden Rye Ale,Okoboji Brewing Company,"Spirit Lake, IA",Rye Beer,16 oz.,5%,23,Other
128,Boji Blue Pale Ale,Okoboji Brewing Company,"Spirit Lake, IA",American Pale Ale (APA),16 oz.,5%,45,Ale
129,Bomb Lager (New Recipe),Bomb Beer Company,"New York, NY",Munich Helles Lager,12 oz.,5.10%,N/A,Lager
130,Bomb Lager (Old Recipe),Bomb Beer Company,"New York, NY",Munich Helles Lager,12 oz.,4.50%,27,Lager
131,Bombshell Blonde,Southern Star Brewing Company,"Conroe, TX",American Blonde Ale,12 oz.,5%,20,Ale
132,Bombshell Blonde,Southern Star Brewing Company,"Conroe, TX",American Blonde Ale,16 oz.,5%,20,Ale
133,Boneshaker Brown Ale,Moat Mountain Smoke House & Brew...,"North Conway, NH",English Brown Ale,24 oz.,5.50%,N/A,Ale
134,Boohai Red Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,???,N/A,Ale
135,Boont Amber Ale,Anderson Valley Brewing Company,"Boonville, CA",American Amber / Red Ale,12 oz.,5.80%,15,Ale
136,Boont Amber Ale (2010),Anderson Valley Brewing Company,"Boonville, CA",American Amber / Red Ale,12 oz.,5.80%,15,Ale
137,Booyah Farmhouse Ale,Milwaukee Brewing Company,"Milwaukee, WI",Saison / Farmhouse Ale,16 oz.,6.50%,20,Ale
138,Boston Lager,Boston Beer Company,"Boston, MA",Vienna Lager,12 oz.,4.90%,30,Lager
139,Bottom Up Belgian Wit,Revolution Brewing Company,"Chicago, IL",Witbier,12 oz.,5%,14,Other
140,Bourbon Barrel Johan,Sun King Brewing Company,"Indianapolis, IN",English Barleywine,16 oz. Alumi-Tek®,10%,60,Other
141,Bourbon Barrel Wee Mac,Sun King Brewing Company,"Indianapolis, IN",Scottish Ale,16 oz. Alumi-Tek®,5.40%,23,Ale
142,Bourbon's Barrel Stout,Great Crescent Brewery,"Aurora, IN",American Stout,16 oz.,7.50%,65,Stout
143,Bozone Select Amber Ale,Bozeman Brewing Company,"Bozeman, MT",American Amber / Red Ale,12 oz.,5.50%,N/A,Ale
144,Brew Free! or Die IPA,21st Amendment Brewery,"San Francisco, CA",American IPA,12 oz.,7%,65,IPA
145,Brew Free! or Die IPA (2009),21st Amendment Brewery,"San Francisco, CA",American IPA,12 oz.,7%,70,IPA
146,Brew Free! or Die IPA (2008),21st Amendment Brewery,"San Francisco, CA",American IPA,12 oz.,7%,70,IPA
147,BrewFarm Select Golden Lager,Dave's Brewfarm,"Wilson, WI",American Pale Lager,12 oz.,5.50%,N/A,Lager
148,Bridal Veil Rye Pale Ale,Telluride Brewing Company,"Telluride, CO",American Pale Ale (APA),12 oz.,5.50%,N/A,Ale
149,BRIK Irish Red Ale,MillKing It Productions,"Royal Oak, MI",Irish Red Ale,16 oz.,4.80%,N/A,Ale
150,British Pale Ale,7 Seas Brewing Company,"Gig Harbor, WA",English Pale Ale,16 oz.,5.40%,30,Ale
151,British Pale Ale (2010),7 Seas Brewing Company,"Gig Harbor, WA",English Pale Ale,16 oz.,5.40%,30,Ale
152,Bronx Pale Ale,The Bronx Brewery,"Bronx, NY",American Pale Ale (APA),16 oz.,6.30%,50,Ale
153,Brooklyn Lager (12 oz.),Brooklyn Brewery,"Brooklyn, NY",American Amber / Red Lager,12 oz.,5.20%,N/A,Lager
154,Brooklyn Lager (16 oz.),Brooklyn Brewery,"Brooklyn, NY",American Amber / Red Lager,16 oz.,5.20%,N/A,Lager
155,Brooklyn Summer Ale (2011),Brooklyn Brewery,"Brooklyn, NY",English Pale Mild Ale,12 oz.,4.50%,N/A,Ale
156,Brooklyn Summer Ale,Brooklyn Brewery,"Brooklyn, NY",English Pale Mild Ale,12 oz.,4.50%,N/A,Ale
157,Brownstone,Sixpoint Craft Ales,"Brooklyn, NY",American Brown Ale,16 oz.,5.90%,47,Ale
158,Brunette Nut Brown Ale,Nebraska Brewing Company,"Papillion, NE",English Brown Ale,12 oz.,4.80%,15,Ale
159,Brush Creek Blonde,Bonfire Brewing Company,"Eagle, CO",American Blonde Ale,16 oz.,4.80%,N/A,Ale
160,Buffalo Sweat (2010),Tallgrass Brewing Company,"Manhattan, KS",Milk / Sweet Stout,16 oz.,5%,20,Stout
161,Buffalo Sweat,Tallgrass Brewing Company,"Manhattan, KS",Milk / Sweet Stout,16 oz.,5%,20,Stout
162,Buried Hatchet Stout,Southern Star Brewing Company,"Conroe, TX",Foreign / Export Stout,12 oz.,8.30%,50,Stout
163,Burning Bush Smoked IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,8%,70,IPA
164,Cabrillo Kölsch,Golden Road Brewing,"Los Angeles, CA",Kölsch,16 oz.,5%,N/A,Other
165,Cache La Porter,Pateros Creek Brewing Company,"Fort Collins, CO",American Porter,16 oz.,5%,24,Other
166,Caldera IPA,Caldera Brewing Company,"Ashland, OR",American IPA,12 oz.,6.10%,94,IPA
167,Caldera IPA (2007),Caldera Brewing Company,"Ashland, OR",American IPA,12 oz.,6.10%,94,IPA
168,Caldera IPA (2009),Caldera Brewing Company,"Ashland, OR",American IPA,12 oz.,6.10%,94,IPA
169,Caldera Pale Ale,Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55,Ale
170,Caldera Pale Ale (2007),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55,Ale
171,Caldera Pale Ale (2005),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55,Ale
172,Caldera Pale Ale (2008),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55,Ale
173,Caldera Pale Ale (2010),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55,Ale
174,Caldera Pale Ale (2009),Caldera Brewing Company,"Ashland, OR",American Pale Ale (APA),12 oz.,5.60%,55,Ale
175,California Sunshine IPA,Devil's Canyon Brewery,"Belmont, CA",American IPA,16 oz.,7.10%,85,IPA
176,Cane and Ebel,Two Brothers Brewing Company,"Warrenville, IL",American Strong Ale,12 oz.,7%,68,Ale
177,Cant Dog Imperial Pale Ale,Marshall Wharf Brewing Company,"Belfast, ME",American Double / Imperial IPA,16 oz.,9.70%,N/A,IPA
178,Canyon Cream Ale,Crow Peak Brewing Company,"Spearfish, SD",Cream Ale,12 oz.,5.50%,N/A,Ale
179,Capital Gold Golden Lager,Confluence Brewing Company,"Des Moines, IA",German Pilsener,16 oz.,4.80%,22,Other
180,Car 21,Pateros Creek Brewing Company,"Fort Collins, CO",English Bitter,16 oz.,4.40%,28,Other
181,Cardinal Pale Ale,Nebraska Brewing Company,"Papillion, NE",American Pale Ale (APA),12 oz.,5.70%,29,Ale
182,Carolina Blonde (2006),Carolina Beer & Beverage,"Mooresville, NC",American Blonde Ale,12 oz.,5%,N/A,Ale
183,Carolina Blonde Light (2005),Carolina Beer & Beverage,"Mooresville, NC",American Blonde Ale,12 oz.,3.50%,N/A,Ale
184,Carolina Lighthouse (2007),Carolina Beer & Beverage,"Mooresville, NC",American Blonde Ale,12 oz.,4%,N/A,Ale
185,Cavatica Stout,Fort George Brewery,"Astoria, OR",American Double / Imperial Stout,16 oz.,8.80%,N/A,Stout
186,Celestial Blonde Ale,Old Forge Brewing Company,"Danville, PA",American Blonde Ale,16 oz.,6.50%,N/A,Ale
187,Celsius Summer Ale,Baxter Brewing Company,"Lewiston, ME",American Pale Wheat Ale,12 oz.,4.70%,N/A,Ale
188,Chaka,Sun King Brewing Company,"Indianapolis, IN",Belgian Strong Pale Ale,16 oz. Alumi-Tek®,8%,N/A,Ale
189,Chaka,Oskar Blues Brewery,"Longmont, CO",Belgian Strong Pale Ale,16 oz. Alumi-Tek®,8%,N/A,Ale
190,Cherny Bock,Bohemian Brewery,"Midvale, UT",Schwarzbier,12 oz.,4%,N/A,Other
191,Cherry Ale,Great Crescent Brewery,"Aurora, IN",Fruit / Vegetable Beer,16 oz.,5.70%,18,Other
192,Chester's Beer (2005),Cottrell Brewing,"Pawcatuck, CT",American Pale Lager,12 oz.,3.80%,N/A,Lager
193,Choc Beer (2003),Krebs Brewing Company (Pete's Pl...,"Krebs, OK",American Dark Wheat Ale,12 oz.,4%,9,Ale
194,Chomo-Lung-Ma Organic Honey Nut Brown,Jackie O's Pub & Brewery,"Athens, OH",English Brown Ale,12 oz.,6.70%,N/A,Ale
195,Chugach Session Ale,Broken Tooth Brewing Company,"Anchorage, AK",Cream Ale,12 oz.,4.80%,N/A,Ale
196,Churchkey Pilsner Style Beer,Churchkey Can Company,"Seattle, WA",American Pilsner,12 oz.,4.90%,29,Pilsner
197,Circuit Bohemian Pilsner,Tin Man Brewing Company,"Evansville, IN",Czech Pilsener,16 oz.,4.50%,35,Other
198,CoCoNut Porter,Maui Brewing Company,"Lahaina, HI",American Porter,12 oz.,5.70%,30,Other
199,Coffee Bender,Surly Brewing Company,"Brooklyn Center, MN",American Brown Ale,16 oz.,5.10%,45,Ale
200,Cold Smoke Scotch Ale,Kettle House Brewing Company,"Missoula, MT",Scotch Ale / Wee Heavy,16 oz.,6.50%,11,Ale
201,Cold Smoke Scotch Ale (2007),Kettle House Brewing Company,"Missoula, MT",Scotch Ale / Wee Heavy,16 oz.,6.50%,11,Ale
202,Colorado Kölsch,Steamworks Brewing Company,"Durango, CO",Kölsch,12 oz.,4.90%,17,Other
203,Colorado Native (2011),AC Golden Brewing Company,"Golden, CO",American Amber / Red Lager,12 oz.,5.50%,26,Lager
204,Colorado Native,AC Golden Brewing Company,"Golden, CO",American Amber / Red Lager,12 oz.,5.50%,26,Lager
205,Colorado Red Ale,Revolution Brewing,"Paonia, CO",American Amber / Red Ale,12 oz.,6.20%,N/A,Ale
206,Contemplation,Brewery Vivant,"Grand Rapids, MI",Bière de Garde,16 oz.,6.50%,N/A,Other
207,Copper Hook (2011),Redhook Brewery,"Woodinville, WA",American Amber / Red Ale,12 oz.,5.80%,27,Ale
208,Cornerstone IPA,Rochester Mills Brewing Company,"Rochester, MI",American IPA,16 oz.,7%,N/A,IPA
209,Cornstalker Dark Wheat,Thunderhead Brewing Company,"Kearney, NE",American Dark Wheat Ale,12 oz.,???,N/A,Ale
210,Country Pale Ale,Wachusett Brewing Company,"Westminster, MA",English Pale Ale,12 oz.,5.10%,17,Ale
211,Crabtree Oatmeal Stout,Crabtree Brewing Company,"Greeley, CO",Oatmeal Stout,16 oz.,7.50%,29,Stout
212,Crank Yanker IPA,Eddyline Brewery & Restaurant,"Buena Vista, CO",American IPA,16 oz.,7.80%,74,IPA
213,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Amber / Red Ale,12 oz.,5.20%,25,Ale
214,Cream Dream V: I Thought We Were Buddies…,Sun King Brewing Company,"Indianapolis, IN",American Double / Imperial IPA,16 oz.,9%,100,IPA
215,CuDa Cascadian Dark Ale,Natian Brewery,"Portland, OR",American Black Ale,16 oz.,7.40%,N/A,Ale
216,Cut Throat Pale Ale (2011),Finch's Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.50%,N/A,Ale
217,Cut Throat Pale Ale,Finch's Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.50%,N/A,Ale
218,Cutthroat Pale Ale,Uinta Brewing Company,"Salt Lake City, UT",American Pale Ale (APA),12 oz.,4%,34,Ale
219,CynicAle,Surly Brewing Company,"Brooklyn Center, MN",Saison / Farmhouse Ale,16 oz.,6.70%,33,Ale
220,Czech Pilsner,Bohemian Brewery,"Midvale, UT",Czech Pilsener,12 oz.,5%,N/A,Other
221,Dagger Falls IPA,Sockeye Brewing Company,"Boise, ID",American IPA,12 oz.,6.30%,100,IPA
222,Daisy Cutter Pale Ale,Half Acre Beer Company,"Chicago, IL",American Pale Ale (APA),16 oz.,5.20%,N/A,Ale
223,Dale's Pale Ale,Oskar Blues Brewery,"Longmont, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
224,Dale's Pale Ale (2002),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
225,Dale's Pale Ale (2004),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
226,Dale's Pale Ale (2003),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
227,Dale's Pale Ale (2006),Oskar Blues Brewery,"Lyons, CO",American Pale Ale (APA),12 oz.,6.50%,65,Ale
