#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
782,Sky Blue Golden Ale,Carolina Brewery,"Pittsboro, NC",Kölsch,12 oz.,5.10%,N/A,Other
783,Sky High Rye,Arcadia Brewing Company,"Battle Creek, MI",Rye Beer,12 oz.,6%,N/A,Other
784,Sly Fox Christmas Ale,Sly Fox Brewing Company,"Phoenixville, PA",Winter Warmer,12 oz.,5.50%,16,Other
785,Snaggletooth Double Pale Ale,Dolores River Brewery,"Dolores, CO",American Double / Imperial IPA,16 oz.,???,N/A,IPA
786,Snake Dog IPA,Flying Dog Brewery,"Frederick, MD",American IPA,12 oz.,7.10%,60,IPA
787,Snake Handler Double IPA,Good People Brewing Company,"Birmingham, AL",American Double / Imperial IPA,12 oz.,9.30%,103,IPA
788,Snake River Lager,Snake River Brewing Company,"Jackson, WY",Vienna Lager,12 oz.,5%,18,Lager
789,Snake River Pale Ale,Snake River Brewing Company,"Jackson, WY",American Pale Ale (APA),12 oz.,5.20%,32,Ale
790,Snapperhead IPA,Butternuts Beer and Ale,"Garrattsville, NY",American IPA,12 oz.,6.80%,N/A,IPA
791,Snowshoe White Ale,Midnight Sun Brewing Company,"Anchorage, AK",Witbier,12 oz.,4.80%,12,Other
792,Sobrehumano Palena'ole,Maui Brewing Company,"Lahaina, HI",American Amber / Red Ale,12 oz.,6%,24,Ale
793,Sockeye Red IPA,Midnight Sun Brewing Company,"Anchorage, AK",American IPA,12 oz.,5.70%,70,IPA
794,SoDo Brown Ale,Two Beers Brewing Company,"Seattle, WA",American Brown Ale,12 oz.,5.40%,20,Ale
795,Solitude,Brewery Vivant,"Grand Rapids, MI",Belgian Pale Ale,16 oz.,6%,N/A,Ale
796,South Ridge Amber Ale,Crystal Springs Brewing Company,"Boulder, CO",American Amber / Red Ale,16 oz.,6%,31,Ale
797,Special Amber,Sprecher Brewing Company,"Glendale, WI",Vienna Lager,12 oz.,5%,22,Lager
798,Special Amber,Sprecher Brewing Company,"Glendale, WI",Vienna Lager,12 oz.,5%,22,Lager
799,Special Edition: Allies Win The War!,21st Amendment Brewery,"San Francisco, CA",English Strong Ale,12 oz.,8.50%,52,Ale
800,Standing Wave Pale Ale,Kannah Creek Brewing Company,"Grand Junction, CO",American Pale Ale (APA),12 oz.,5.50%,50,Ale
801,Starr Pils,Starr Hill Brewery,"Crozet, VA",German Pilsener,12 oz.,4.20%,20,Other
802,Steam Engine Lager,Steamworks Brewing Company,"Durango, CO",American Amber / Red Lager,12 oz.,5.70%,25,Lager
